2021-12-15 19:12:238 INFO  ResultPage :29 - Getting result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 19:12:243 INFO  ResultPage :41 - Verifying result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 19:12:771 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 19:12:731 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (cbade5a80ef2cce9fd458b31308c587e)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 19:12:878 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Australia
2021-12-15 19:12:292 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (cbade5a80ef2cce9fd458b31308c587e)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:807 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (cbade5a80ef2cce9fd458b31308c587e)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:876 INFO  ResultPage :29 - Getting result message : You will not need a visa to come to the UK
2021-12-15 19:12:876 INFO  ResultPage :41 - Verifying result message : You will not need a visa to come to the UK
2021-12-15 19:12:289 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 19:12:458 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 19:12:648 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Colombia
2021-12-15 19:12:976 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:59 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label]]
